"","x"
"1","L81017"
"2","L81014"
"3","L81029"
"4","L81004"
"5","L81015"
"6","L81024"
"7","L81013"
"8","L81009"
"9","L81021"
"10","L81016"
"11","L81018"
"12","L81023"
"13","L81038"
"14","L81042"
"15","L81051"
"16","L81031"
"17","L81033"
"18","L81044"
"19","L81040"
"20","L81046"
"21","L81053"
"22","L81054"
"23","L81078"
"24","L81094"
"25","L81075"
"26","L81067"
"27","L81084"
"28","L81066"
"29","L81061"
"30","L81089"
"31","L81063"
"32","L81077"
"33","L81085"
"34","L81058"
"35","L81098"
"36","L81649"
"37","Y02578"
"38","L81106"
"39","L81118"
"40","L81125"
"41","L81133"
"42","L81130"
"43","L81600"
"44","L81127"
"45","L81632"
"46","L81642"
"47","L81019"
"48","L81022"
"49","L81117"
"50","L81008"
"51","L81050"
"52","L81081"
"53","L81082"
"54","L81087"
"55","L81083"
"56","L81055"
"57","L81091"
"58","L81103"
"59","L81012"
"60","L81026"
"61","L81037"
"62","L81041"
"63","L81047"
"64","L81062"
"65","L81079"
"66","L81131"
"67","L81670"
"68","L81007"
"69","L81034"
"70","L81090"
"71","L81643"
"72","L81095"
"73","Y02873"
