"","x"
"1","L81009"
"2","L81021"
"3","L81017"
"4","L81014"
"5","L81029"
"6","L81004"
"7","L81016"
"8","L81015"
"9","L81024"
"10","L81013"
"11","L81018"
"12","L81023"
"13","L81038"
"14","L81042"
"15","L81031"
"16","L81033"
"17","L81040"
"18","L81044"
"19","L81046"
"20","L81051"
"21","L81053"
"22","L81054"
"23","L81067"
"24","L81061"
"25","L81058"
"26","L81075"
"27","L81077"
"28","L81066"
"29","L81084"
"30","L81063"
"31","L81085"
"32","L81089"
"33","L81078"
"34","L81094"
"35","L81098"
"36","Y02578"
"37","L81600"
"38","L81106"
"39","L81118"
"40","L81133"
"41","L81127"
"42","L81125"
"43","L81130"
"44","L81632"
"45","L81649"
"46","L81087"
"47","L81022"
"48","L81050"
"49","L81081"
"50","L81082"
"51","L81103"
"52","L81642"
"53","L81019"
"54","L81117"
"55","L81008"
"56","L81083"
"57","L81055"
"58","L81091"
"59","L81026"
"60","L81037"
"61","L81062"
"62","L81079"
"63","L81012"
"64","L81131"
"65","L81041"
"66","L81047"
"67","L81670"
"68","L81007"
"69","L81034"
"70","L81090"
"71","L81095"
"72","L81643"
"73","Y02873"
