"","x"
"1","L81014"
"2","L81004"
"3","L81013"
"4","L81024"
"5","L81009"
"6","L81021"
"7","L81017"
"8","L81023"
"9","L81029"
"10","L81016"
"11","L81015"
"12","L81018"
"13","L81038"
"14","L81040"
"15","L81042"
"16","L81046"
"17","L81051"
"18","L81031"
"19","L81033"
"20","L81044"
"21","L81053"
"22","L81054"
"23","L81067"
"24","L81075"
"25","L81084"
"26","L81078"
"27","L81058"
"28","L81061"
"29","L81077"
"30","L81066"
"31","L81063"
"32","L81094"
"33","L81085"
"34","L81089"
"35","Y02873"
"36","L81133"
"37","L81118"
"38","L81098"
"39","Y02578"
"40","L81130"
"41","L81600"
"42","L81127"
"43","L81106"
"44","L81125"
"45","L81632"
"46","L81649"
"47","L81008"
"48","L81082"
"49","L81019"
"50","L81022"
"51","L81050"
"52","L81055"
"53","L81117"
"54","L81081"
"55","L81083"
"56","L81642"
"57","L81087"
"58","L81091"
"59","L81103"
"60","L81079"
"61","L81012"
"62","L81026"
"63","L81037"
"64","L81041"
"65","L81047"
"66","L81062"
"67","L81131"
"68","L81670"
"69","L81007"
"70","L81034"
"71","L81090"
"72","L81095"
"73","L81643"
